gid,timestamp,Date,Zone,Preferred Language (if translator needed)?,City,State,Zipcode,# of Occupants,Are you living here now?,Rent or Own?,Rent or Own? 2,"If not here, where are you staying?",Do you need a safe place to sleep?,Does anyone in your household need food?,Do you have electricity?,Do you have water?,Do you have heat?,Do you have plumbing?,Is the water clean?,Are there children living here?,Are there senior citizens living here?,Are there disabled people living here?,What is your country of origin?,Did you stay at home during Sandy?,Was your house damaged?,Do you have a mold problem?,Do you need help with repairs?,Does anyone in your household need medical attention?,Is anyone at home feeling stressed out?,Does anyone need to speak with a lawyer?,Does anyone need to speak with a lawyer? 2,Did you receive Disaster Food Stamps?,Do you need help with unemployment benefits?,Have you registered with FEMA?,Did you receive a check from FEMA?,Did you receive all the funds you believe you should have received from FEMA?,Did you apply for an SBA loan?,"If you didn’t apply for an SBA loan, was it because you were:",Name of insurers:,Did you file an insurance claim?,Do you have flood insurance?,Have you received your flood insurance payment?,Did the payment cover all repairs?,"If insurance payment was insufficient, or claim denied, did you file an appeal?","If insurance payment was insufficient, or claim denied, did you file an appeal? 2",Would you accept help from an attorney with filing an insurance appeal?,Are you having mortgage problems?,Do you need legal help with lender problems?,Did you receive FEMA rental assistance to help you with leasing a temporary or permanent apartment?,Did you rent out any part of your home pre-Sandy?,Would you be interested in attending a community meeting?,What is your greatest need?,Response,Stickers on house?,"If free non-perishable food was available ongoing in your community, would this be helpful?",Any specific details for medical attention?,Were you told not to register FEMA or not allowed to register with FEMA?,Would you accept help from an attorney for your FEMA appeal?,Was any portion of this house used as a rental unit pre-Sandy?,"If not, do you need FEMA rental assistance to help you with leasing a temporary or permanent apartment?",CONTACT INFO NOTES,BASIC INFO NOTES,FEMA/SBA NOTE,INSURANCE NOTES,HOUSING NOTES,OTHER NOTES,What subject(s) do these additional notes apply to?,Zone Number
SI1_11,2013-01-19T21:18:49Z,2012-01-19T00:00:00Z,D,,Staten Island,NY,10306,3,YES,,,,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,,NO,YES,,YES,NO,,,,NO,,YES,YES,NO,YES,,Tower,Yes,NO,NO,NO,NO,,,NO,NO,YES,,YES,Financial assistance,Completed,Green from Yellow,YES,,NO,YES,,NO,,,"FEMA CHECK WAS FOR RENTAL ASSISTANCE, NOTHING ELSE.",,NO KITCHEN,,"Water/Food, Home Repair, Financial Aid (FEMA or otherwise)",1
SI1_12,2013-01-19T21:18:54Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,,,YES,NO,NO,NO,YES,,,NO,NO,YES,YES,NO,YES,,,No,YES,YES,NO,NO,,,NO,,NO,,YES,FOR NEIGHBORS TO BE OK,Completed,,YES,,NO,YES,NO,,,,TOOK 2.5 WEEKS FOR RAPID REPAIR TO REPLY,,,,,19
SI1_13,2013-01-19T21:20:49Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,,YES,,,,NO,NO,YES,YES,YES,YES,YES,NO,NO,,,,,,,,,,,,,NO,,,,,Allstate,,YES,YES,YES,,,,,,,,,,,,NO,,YES,,,,,,,,,,,6
SI1_14,2013-01-19T21:23:28Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,,YES,,OWN,,,,,,,,,,,,,,,NO,,NO,,,,,,YES,NO,NO,NO,Debt / Financial,Allstate,Yes,YES,YES,NO,NO,,YES,NO,,,,,FEMA HELP,,,,,,YES,,,,,,,,,,6
SI1_15,2013-01-19T21:23:52Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,2,YES,,OWN,,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,YES,,NO,NO,YES,YES,YES,NO,NO,,Travelers,Yes,YES,NO,NO,NO,,YES,NO,NO,NO,,YES,Cleaning,Completed,None,NO,,NO,NO,NO,NO,,,,,,,,13
SI1_16,2013-01-19T21:24:15Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,1,NO,,RENT,Family/Friend,NO,YES,NO,NO,YES,NO,,NO,NO,,,NO,YES,YES,YES,NO,YES,,NO,NO,NO,YES,YES,YES,YES,,AMERICAN BANKERS INSURANCE OF FLORIDA,Yes,NO,,NO,NO,,,NO,,YES,,YES,Building supplies,Completed,Green,YES,,NO,YES,NO,NO,,,,,,,,19
SI1_17,2013-01-19T21:24:23Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,,,Yes,YES,NO,NO,,,,NO,NO,NO,,YES,HELP WITH DOORS,Completed,,NO,,NO,NO,NO,NO,,,,,,,,7
SI1_18,2013-01-19T21:26:18Z,2012-01-19T00:00:00Z,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,7
SI1_19,2013-01-19T21:27:08Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,,YES,,OWN,,,NO,YES,YES,YES,YES,YES,YES,YES,NO,,,YES,NO,NO,NO,,,NO,NO,NO,YES,NO,NO,NO,,Allstate,Yes,YES,NO,,,,,NO,,,,,Financial assistance,,Green,,,,YES,NO,,,,,,,,,6
SI1_20,2013-01-19T21:28:05Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donna Morales Molski,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_21,2013-01-19T21:28:46Z,2012-01-19T00:00:00Z,D,,Staten Island,NY,10306,3,YES,,OWN,,,YES,YES,YES,YES,NO,NO,NO,NO,NO,,NO,YES,YES,YES,YES,NO,,NO,YES,YES,YES,YES,,YES,,Allstate,Yes,NO,,,,,,NO,,,,YES,Mold remediation,Completed,,YES,"EDDIE HAS ASTHMA, DIABETES, AND HIGH BLOOD PRESSURE",,,NO,,,,FEMA CHECK WAS A REBATE ONLY. REJECTED FOR SBA LOAN.,MORTGAGE PAID OFF ALREADY.,HE WENT TO A SHELTER BUT FELT UNSAFE. HE WOULD RATHER STAY HOME EVEN THOUGH HE NEEDS A SAFER PLACE. THERE WERE NEEDLES ALL OVER AT THE SHELTER PERTAINING TO DRUG ADDICTS THAT WERE STAYING THERE.,,"Shelter/Housing, Home Repair",1
SI1_22,2013-01-19T21:29:07Z,2012-01-19T00:00:00Z,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,7
SI1_23,2013-01-19T21:30:02Z,2012-01-19T00:00:00Z,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_24,2013-01-19T21:31:13Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_25,2013-01-19T21:32:19Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_26,2013-01-19T21:32:22Z,2012-01-19T00:00:00Z,A,,,,,,YES,,OWN,,,NO,YES,YES,YES,YES,YES,YES,NO,NO,,YES,YES,NO,,YES,,,YES,,,YES,YES,,YES,,,Yes,,,,,,,YES,,,,,,Completed,,,,,,,,,,,,,,,6
SI1_27,2013-01-19T21:32:42Z,2012-01-19T00:00:00Z,D,,Staten Island,NY,10306,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COME BACK LATER,Green,,,,,,,COME BACK BETWEEN 3:30PM-4PM (ON THE SAME DAY???),,,,,,,1
SI1_28,2013-01-19T21:33:27Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_29,2013-01-19T21:34:21Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,7
SI1_30,2013-01-19T21:34:40Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,4,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,YES,NO,NO,YES,,NO,YES,NO,YES,YES,NO,YES,,Allstate,Yes,NO,NO,NO,Not yet,,MAYBE,,NO,,,YES,Financial assistance,Completed,Green,YES,,,YES,NO,,,"Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.Needs cat food, not human food (non perishables.) 
Also experienced damage to cars, in addition to home.",,,,,"Home Repair, Financial Aid (FEMA or otherwise)",12
SI1_31,2013-01-19T21:34:40Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,1,NO,,OWN,Family/Friend,NO,YES,NO,NO,NO,NO,NO,,YES,NO,,YES,YES,YES,YES,NO,NO,,NO,NO,NO,YES,YES,NO,NO,Debt / Financial,,No,NO,,,,,,NO,,YES,,IF A RIDE IS MADE AVAILABLE SHE WOULD BE INTERESTED,Car,Completed,Green,YES,,NO,NO,NO,,,,,LOST HER CAR AND CAN'T REPLACE IT,,,,19
SI1_32,2013-01-19T21:35:23Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
SI1_33,2013-01-19T21:36:10Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,7
SI1_34,2013-01-19T21:36:36Z,,C,,,,,2,YES,,OWN,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,,NO,YES,NO,NO,,NO,YES,NO,YES,YES,YES,YES,,Allstate,Yes,NO,NO,NO,NO,,NO,NO,NO,NO,,NO,,Completed,Green,NO,,NO,NO,NO,,,,,,,,,13
SI1_35,2013-01-19T21:36:58Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_36,2013-01-19T21:38:23Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,7
SI1_37,2013-01-19T21:38:41Z,,A,,Staten Island,NY,10305,3,NO,,,Shelter,NO,NO,YES,NO,NO,YES,NO,,,,,,YES,YES,YES,NO,YES,,NO,NO,,YES,NO,NO,NO,,FIDELITY,Yes,YES,NO,NO,NO,,YES,YES,YES,NO,,NO,Building supplies,Completed,Green,,SHEET ROCK DAMAGE TO HOUSE,NO,YES,NO,NO,,,,,,,,6
SI1_38,2013-01-19T21:39:41Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_39,2013-01-19T21:40:33Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_40,2013-01-19T21:41:22Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_41,2013-01-19T21:42:13Z,2012-01-19T00:00:00Z,A,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_42,2013-01-19T21:43:04Z,2012-01-19T00:00:00Z,A,,,,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,7
SI1_43,2013-01-19T21:43:19Z,2012-01-19T00:00:00Z,D,,,,10306,3,,,OWN,,NO,YES,YES,,,NO,YES,NO,NO,NO,,,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,NO,,DON'T KNOW,Yes,YES,YES,NO,NO,,YES,NO,NO,,,,,Completed,Yellow,YES,,NO,NO,NO,,ADDITIONAL PHONE: 3474658822,,,,,,,2
SI1_44,2013-01-19T21:43:36Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,2,,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,,YES,YES,YES,NO,NO,YES,,NO,NO,NO,YES,YES,NO,NO,Debt / Financial,National Flood Insurance,Yes,YES,NO,NO,Not yet,,YES,NO,NO,NO,,NO,Financial assistance,Completed,Green,NO,,NO,YES,NO,NO,,,,,,,,1
SI1_45,2013-01-19T21:46:10Z,,C,"Mandarin, Cantonese",Staten Island,NY,10306,5,YES,,OWN,,YES,NO,YES,YES,YES,YES,unsure,YES,YES,NO,,YES,YES,YES,NO,NO,YES,,NO,YES,YES,YES,YES,NO,NO,,Allstate,Yes,YES,Partial,NO,YES,,NO,NO,NO,,,YES,A vacuum cleaner,Completed,None,NO,,NO,NO,NO,,,,"Received money from FEMA but only ""a little bit""",,,,,12
SI1_46,2013-01-19T22:30:09Z,2012-01-19T00:00:00Z,A,,,,10305,4,YES,,OWN,,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,YES,YES,NO,NO,NO,NO,,NO,YES,NO,YES,NO,YES,,,Allstate,Yes,NO,,,,,,NO,NO,NO,,NO,"HEATING, FOOD",Completed,,YES,,,YES,YES,,,,,,,,,11
SI1_47,2013-01-19T22:30:13Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,YES,YES,YES,NO,YES,,NO,NO,NO,YES,YES,NO,NO,Debt / Financial,none,No,NO,NO,NO,,,,NO,NO,,,NO,help to clean the basement,Completed,None,YES,,NO,NO,NO,,,Basement damage,,No insurance,,,,12
SI1_48,2013-01-19T22:35:32Z,2012-01-19T00:00:00Z,A,,,,10305,3,YES,,OWN,,NO,NO,YES,YES,YES,,YES,NO,NO,NO,,YES,NO,NO,NO,NO,YES,,NO,NO,NO,NO,,,NO,,,No,NO,,,,,,NO,NO,,,YES,,Completed,,YES,,,,NO,,,,,,,,,11
SI1_49,2013-01-19T22:36:03Z,2012-01-19T00:00:00Z,D,,,,10306,4,NO,,,Rental,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,NO,YES,NO,YES,NO,YES,,YES,NO,NO,YES,YES,NO,YES,,Tower,Yes,YES,NO,NO,,,YES,YES,NO,YES,,YES,UTILITIES,Completed,Green from Yellow,YES,,NO,YES,NO,,,,,,,,,2
SI1_50,2013-01-19T22:38:48Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,2,YES,,RENT,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,Debt / Financial,Navy Fed,Yes,YES,YES,YES,NO,,NO,NO,NO,NO,,YES,,Completed,Green,NO,,NO,YES,YES,NO,,,,,,,,12
SI1_51,2013-01-19T22:39:45Z,2012-01-19T00:00:00Z,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO PROBLEM, NO STICKER",,,,,,,,,,,,,,,1
SI1_52,2013-01-19T22:40:51Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO PROBLEM, NO STICKER",,,,,,,,,,,,,,,1
SI1_53,2013-01-19T22:41:50Z,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO PROBLEM, NO STICKER",,,,,,,,,,,,,,,1
SI1_54,2013-01-19T22:42:28Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO PROBLEM, NO STICKER",,,,,,,,,,,,,,,1
SI1_55,2013-01-19T22:43:03Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO PROBLEM, NO STICKER",,,,,,,,,,,,,,,1
SI1_56,2013-01-19T22:47:01Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_57,2013-01-19T22:48:04Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_58,2013-01-19T22:49:01Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_59,2013-01-19T22:49:40Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer at door and appears someone lives here,,,,,,,,,,,,,,,1
SI1_60,2013-01-19T22:50:30Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_61,2013-01-19T22:50:45Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,4,YES,,OWN,,NO,NO,YES,YES,YES,YES,NO,YES,,NO,,YES,YES,YES,NO,NO,YES,,NO,NO,NO,YES,YES,NO,NO,,Travelers,Yes,NO,NO,NO,NO,,YES,NO,NO,NO,,NO,Safety,Completed,Green from Yellow,YES,,NO,YES,NO,NO,,,,,,,,13
SI1_62,2013-01-19T22:51:32Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_63,2013-01-19T22:54:24Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,None,,,,,,,,,,,,,,11
SI1_64,2013-01-19T22:58:39Z,2012-01-19T00:00:00Z,C,,,,,3,NO,,OWN,Family/Friend,NO,NO,YES,YES,YES,YES,YES,,NO,YES,,NO,YES,NO,YES,NO,YES,,NO,NO,NO,YES,YES,NO,NO,Debt / Financial,,Yes,NO,NO,NO,NO,,NO,NO,NO,NO,,YES,Repairs,Completed,Green from Yellow,YES,,NO,NO,NO,NO,,,,,,,,13
SI1_65,2013-01-19T23:03:15Z,2012-01-19T00:00:00Z,D,,,,10306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,1
SI1_66,2013-01-19T23:03:23Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,10306,2,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,NO,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,NO,NO,No need,21st Century,Yes,NO,NO,,,,NO,NO,NO,,,NO,Getting back to normal,Completed,None,NO,,,NO,NO,,,,,,,,,12
SI1_67,2013-01-19T23:03:39Z,,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
SI1_68,2013-01-19T23:04:26Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Declined,,,,,,,,,,,,,,,1
